name,inn,legal_person,category,region,description,РРАР_score,site,contacts,source
Аймарс ,9701293584,"АО ""АЙМАРС МЕДИА""",Агентства полного цикла,Москва,"Коммуникационная группа «Аймарс» оказывает комплекс услуг в сфере PR и рекламы, реализует проекты в цифровой среде (SMM и SEO), организует промо-акции и различные деловые мероприятия. Кроме того, компания занимается организацией российско-китайских и других зарубежных проектов",1066,http://imars.ru/,"7 (495) 234-57-46, nb@imars.ru",https://alladvertising.ru/top/full-service/
DOT ,7710711668,"ООО ""ДОТ""",Агентства полного цикла,Москва,"DOT Digital Agency — одно из первых российских агентств, занявшихся созданием сайтов и рекламой в сети Интернет. На сегодняшний день компания является одним из лидеров в индустрии цифровых коммуникаций, предоставляя комплексную экспертизу в области веб-разработки, интернет-маркетинга и продакшна.",983,https://dot.ru/,"7 (495) 771-34-04, info@dot.ru",https://alladvertising.ru/top/full-service/
Eventum Premo,7701752869,"ООО ""ЕВЕНТУМ. КОНФЕРЕНЦИИ И СЕМИНАРЫ""",Агентства полного цикла,Москва,"Компания Eventum Premo занимает одно из лидирующих мест в сфере корпоративных и маркетинговых коммуникаций. Агентство специализируется на организации и проведении крупномасштабных мероприятий, создании инсталляций и пространственных интеграций, PR и поддержке участия в выставках, продвижении в цифровой среде.",805,https://eventum-premo.ru/,"7 (495) 785-84-46, go@eventum-premo.ru",https://alladvertising.ru/top/full-service/
Родная речь,7743068844,"ООО ""ЛАЙОН КОММЬЮНИКЕЙШНЗ""",Агентства полного цикла,Москва,"Группа компаний «Родная речь» объединяет креативные и брендинговые, медийные и PR подразделения, специализируясь на реализации микса возможностей новых и классических медиа.",887,https://rore.group/,"7 (495) 937-33-00, contact@rore.group",https://alladvertising.ru/top/full-service/
Young Capital ,7706185814,"ООО ""ЯНГ КАПИТАЛ""",Агентства полного цикла,Москва,"Рекламное агентство Young Capital (ранее — Young&Rubicam) обладает огромной экспертизой и реализует масштабные проекты во всех видах медиа, сочетая аналитический подход и креативные решения.",886,http://www.youngcapital.ru/,"7 (495) 969-51-35, New_business@youngcapital.ru",https://alladvertising.ru/top/full-service/
AGIMA,7707380198,"ООО ""АГИМА ИНТЕРАКТИВ""",Агентства полного цикла,Москва,"Полносервисное агентство интернет-маркетинга, специализирующееся на реализации сложных IT-решений, разработке мобильных приложений, создании сайтов и рекламе в интернете, SEO, SMO, комплексной поддержке интернет-проектов.",1378,https://www.agima.ru/,"7 (495) 981-01-85, info@agima.ru",https://alladvertising.ru/top/full-service/
Affect ,7710523689,"ООО ""АФФЕКТ""",Агентства полного цикла,Москва,"Affect — одно из ведущих digital-агентств России, специализирующееся на нестандартных методах рекламы: вирусном маркетинге и продакшне, посеве информации и продвижении брендов в социальных сетях и СМИ.",778,https://affect.ru/ru/,"7 977 563-74-52, hello@affect.ru",https://alladvertising.ru/top/full-service/
Group4Media,7731529770,"ООО ""ГРУПФОРМЕДИА""",Агентства полного цикла,Москва,"Group4Media – это крупнейший российский холдинг по управлению медиа-инвестициями, включающий агентства Mediamind, Mediasystem и Mediamaker.",1475,https://group4media.ru/,"7 (495) 641-40-80, info@group4m.ru",https://alladvertising.ru/top/full-service/
Ruport,2310176576,"ООО ""РМК""",Агентства полного цикла,Краснодар,"Креативное агентство «Рупорт» оказывает комплекс услуг в области брендинга и дизайна, креатива и реализации рекламных и PR проектов, разработки сайтов, 3D визуализации и видео-продакшна.",728,https://ruport.ru/,"7 (861) 277-65-77, info@ruport.ru",https://alladvertising.ru/top/full-service/
LBL Communication Group ,7714760289,"ООО ""РЕКЛАМНОЕ АГЕНТСТВО ЛБЛ КОМПАНИ""",Агентства полного цикла,Москва,"Независимая российская коммуникационная группа, специализирующаяся на аналитике и разработке стратегий, креативных решениях, медиа-сервисе и Digital, организации промо-акций и масштабных мероприятий; занимается оформлением и производством полиграфической и сувенирной продукции, а так же оказывает PR-поддержку.",1356,https://lbl.ru/,"7 (495) 789-45-42, info@lbl.ru",https://alladvertising.ru/top/full-service/
Perspective ,7743288871,"ООО ""ПЕРСПЕКТИВА""",Агентства полного цикла,Москва,"Агентство и продакшн PERSPECTIVE оказывает полный спектр услуг по стратегическим и креативным разработкам и производству видео: создание имиджевых и рекламных роликов, корпоративных и презентационных фильмов; визуальные эффекты.",659,https://p-movie.ru/,"7 (499) 754-80-80, hi@p-movie.ru",https://alladvertising.ru/top/full-service/
Sobytie Communications,7717582845,"ООО ""КГ СОБЫТИЕ""",Агентства полного цикла,Москва,"Коммуникационная группа «Событие» оказывает весь спектр услуг на рынке маркетинговых коммуникаций: от разработки комплексных стратегий и креативных концепций до реализации медийных кампаний, PR, Event- и BTL-проектов.",680,https://so-bytie.ru/,"7 (495) 741-36-01,  info@so-bytie.ru",https://alladvertising.ru/top/full-service/
Группа «КБ-12» ,7708298891,"ООО ""12""",Агентства полного цикла,Москва,"Группа компаний «КБ-12» специализируется на технологиях и креативе в маркетинге, веб-разработке и performance-маркетинге.",1182,https://kb-12.com/,"7 (499) 391-96-04, request@kb-12.com",https://alladvertising.ru/top/full-service/
Менделеев,7203596568,"ООО ""МЕНДЕЛЕЕВ""",Агентства полного цикла,Тюмень,"Коммуникационное агентство «МЕНДЕЛЕЕВ» предлагает экспертизу в интернет-маркетинге, веб-разработке, PR и GR, дизайне и продакшне. Команда агентства проводит исследования и разрабатывает стратегии, создаёт дизайн и контент, предлагает актуальные инструменты для продвижения бизнеса.",592,https://менделеев.рф/,"8 800 222-20-90, sales@mendeleevm.ru",https://alladvertising.ru/top/full-service/
Redline PR,502478137235,ИП Кириченко Анна Александровна,Агентства полного цикла,Москва,Коммуникационное агентство Redline PR специализируется на оказании полного цикла услуг для среднего и крупного бизнеса на территории России и в странах СНГ.,568,https://redline-pr.ru/,"7 926 579-88-17, pr@redline-pr.ru",https://alladvertising.ru/top/full-service/
Infomost Communications,7704782043,"ООО ""ИНФОМОСТ""",Агентства полного цикла,Москва,"PR-агентство Infomost Communications оказывает комплекс услуг в области корпоративных и финансовых коммуникаций, занимается работой со СМИ и цифровыми медиа, создаёт годовые отчёты, работает над выстраиванием деловой репутации.",651,https://im-com.ru/,"7 (495) 532-28-25,  info@im-com.ru",https://alladvertising.ru/top/full-service/
Oasis ,7721595131,"ООО ""ЕВРОЭТАЛОН""",Сувенирная продукция,Москва,"Компания Oasis, один из ведущих игроков на рынке сувенирной продукции России, выпускает каталоги и занимается дистрибуцией широкого спектра сувенирной продукции, в которых представлено множество тематических сувениров от промо- до бизнес-класса, а также широкий спектр текстильной продукции, эксклюзивных сувениров и VIP-подарков для руководителей.",1595,https://www.oasiscatalog.com/,"7 (495) 150-12-12, sales@oasiscatalog.com",https://alladvertising.ru/top/gifts/
Проект 111,7838307811,"ООО ""ПРОЕКТ 111""",Сувенирная продукция,Санкт-Петербург,"Компания «Проект 111» является лидером российского рынка промоиндустрии, специализируясь на разработке, производстве и дистрибуции бизнес-подарков и мерча, промо-продукции и упаковки. Компания составляет собственные каталоги и постоянно развивает сеть региональных партнеров.",1697,https://gifts.ru/,"7 (812) 389-44-14, info@gifts.ru",https://alladvertising.ru/top/gifts/
Платина,2461037736,"ООО ИПК ""ПЛАТИНА""",Сувенирная продукция,Красноярск,"ИПК «Платина» оказывает комплекс услуг по разработке и производству корпоративной презентационной продукции: корпоративные календари, юбилейные издания, книги, сувенирные наборы.",834,https://platinaipk.ru/,"7 (391) 265-59-61, info@platinaipk.ru",https://alladvertising.ru/top/gifts/
ADMOS,7720688104,"ООО ""ЭДМОС-РЕКЛАМА""",Сувенирная продукция,Москва,Компания ADMOS специализируется на разработке концепций промо- и бизнес-подарков; оказывает услуги в области производства сувенирной продукции; занимается оформлением и производством печатных и POS-материалов.,905,https://www.admos-gifts.ru/,"7 (495) 646-15-10, zapros@admos.ru",https://alladvertising.ru/top/gifts/
Прагматика,6685136716,"ООО ""ПРАГМАТИКА""",Сувенирная продукция,Екатеринбург,"Рекламно-производственная компания представляет интересы ведущих сувенирных каталогов и предлагает огромный выбор рекламных и бизнес-сувениров российского и зарубежного производства, а так же оказывает услуги по нанесению фирменной символики и производству рекламной полиграфии.",875,https://pragmatica.gifts/,"7 (343) 253-15-76, info@pragmatica.ru",https://alladvertising.ru/top/gifts/
Иллан Gifts ,7801207313,"ООО ""КГИ""",Сувенирная продукция,Санкт-Петербург,Компания Иллан Gifts — одна из крупнейших российских компаний на рынке разработки и поставок качественной сувенирной продукции и бизнес-подарков с фирменной символикой.,802,https://illan-gifts.ru/,"7 (812) 704-84-71, illanspb+adv@illan.ru",https://alladvertising.ru/top/gifts/
ПрезенТайм,5258125282,"ООО ""ПРЕЗЕНТАЙМ""",Сувенирная продукция,Нижний Новгород,"Разработка, производство и продажа сувенирной продукции (деловые сувениры и подарки) из ведущих каталогов со склада в Нижнем Новгороде, а также оказание услуг по персонализации (нанесению символики).",910,https://presentime.online/,"7 (831) 216-13-13, info@presentime.su",https://alladvertising.ru/top/gifts/
ОКЕАН бизнес сувениров,6316160467,"ООО ""МАКРОС""",Сувенирная продукция,Самара,"Компания «Океан бизнес-сувениров» является одним из крупнейших оптовых поставщиков бизнес-сувениров и элитных подарков в России, а также оказывает широкий спектр услуг по нанесению фирменной символики.",861,https://www.oceangifts.ru/,"7 (846) 979-71-72, region@oceangifts.ru",https://alladvertising.ru/top/gifts/
Zeytz ,7722713109,"ООО ""ЗЕЙТЦ ПРОДЖЕКТ""",Сувенирная продукция,Москва,"Группа ZEYTZ — эксперт в производстве рекламной, полиграфической, сувенирной и текстильной продукции, оформлении мест продаж, автоматизации рекламных поставок в федеральные сети. Компании принадлежат крупнейшая в России интерьерная латексная типография и швейный цех «Швейц» в Рязани.",812,https://www.zeytz.ru/,"7 (495) 662-97-85, welcome@zeytz.ru",https://alladvertising.ru/top/gifts/
Grata Adv,7727713286,"ООО ""ГРАТА АДВ""",Сувенирная продукция,Москва,"Коммуникационное агентство полного цикла Grata Adv занимается организацией деловых, корпоративных и развлекательных мероприятий, реализацией и сопровождением выставочных проектов.",795,https://grata-adv.ru/,"7 (495) 961-00-06, grata@grata-adv.ru",https://alladvertising.ru/top/gifts/
Alter Ego,7705344797,"ООО ""АЛЬТЕР ЭГО ПРОМОУШН""",Сувенирная продукция,Москва,"Компания «Альтер Эго» занимается производством и поставкой сувениров и корпоративных подарков, сотрудничая с крупнейшими поставщиками из России, Европы и Китая. В перечне услуг компании: разработка идей и индивидуальный дизайн, изготовление сувенирной и полиграфической продукции, все виды нанесения и персонализации, упаковка и оформление наборов, собственная служба логистики и складской комплекс.",776,https://altereg.ru/,"7 (495) 150-30-77, info@altereg.ru",https://alladvertising.ru/top/gifts/
N:OW ,7707373225,"ООО ""НАУ""",Сувенирная продукция,Москва,"Агентство «N:OW» оказывает весь комплекс услуг в области коммуникаций и событийного маркетинга — от исследований, разработки идей, сценариев и механик, до организации мероприятий и полной интеграции брендов в крупные события.",555,https://now-agency.ru/,"7 953 435-91-63, hello@now-agency.ru",https://alladvertising.ru/top/gifts/
LBK Marketing Pro ,7743777640,"ООО ""ЛБК МАРКЕТИНГ ПРО""",Сувенирная продукция,Москва,"Сервисно-производственная компания «ЛБК Маркетинг Продакшен» является одним из лидеров в области разработки и производства POS-материалов и промо-дисплеев, а также промо-упаковки и различных рекламных материалов.",713,https://lbk-mpro.ru/,"7 (495) 989-12-36, zakaz@lbk-mpro.ru",https://alladvertising.ru/top/gifts/
Эклектика ,7704404228,"ООО ""ЭКЛЕКТИКА""",Сувенирная продукция,Москва,"Компания «Эклектика» специализируется на оптовых поставках сувенирной продукции и бизнес-подарков от известных мировых производителей, а также оказывает услуги по разработке индивидуальных решений и нанесению фирменной символики.",674,https://eklektika.ru/,"7 (495) 129-53-72, team@eklektika.ru",https://alladvertising.ru/top/gifts/
Эргономика ,2536300352,"ООО ПК ""КРС""",Сувенирная продукция,Владивосток,"Компания «Эргономика» — один из крупнейших игроков на рынке бизнес-сувениров на Дальнем Востоке России: подбор продукции по крупнейшим каталогам и производство сувениров по индивидуальным эскизам, нанесение фирменной символики любыми методами (тиснение, гравировка, шелкография, сублимация и т.д.)",641,https://krs-vl.ru/,"7 (423) 230-22-10, info@krs-vl.ru",https://alladvertising.ru/top/gifts/
яМайка ,781412373081,ИП Рогалев Кирилл Андреевич,Сувенирная продукция,Санкт-Петербург,"Сеть современных магазинов-типографий, позволяющих быстро выбрать и нанести свой дизайн на футболку, майку, толстовку и другой текстиль. Две студии находятся в Санкт-Петербурге и одна в Москве.",655,https://www.i-maika.ru/,"7 (812) 490-75-80, opt@i-maika.ru",https://alladvertising.ru/top/gifts/
Infinity Project ,7707778849,"ООО ""РПК ""ИНФИНИТИ""",Сувенирная продукция,Москва,"Infinity Project — рекламно-маркетинговое агентство полного цикла, помогающее брендам выстраивать коммуникацию с потребителями и партнёрами: разработка стратегий продвижения, организация спецпроектов и мероприятий, разработка сувенирной продукции, производство торгового оборудования, создание сайтов и контент-маркетинг.",611,https://infinity-project.ru/,"7 (495) 989-17-53, order@infinity-project.ru",https://alladvertising.ru/top/gifts/
STONEBLACK,7728202252,"ООО ""СТОУНБЛЭК""",Сувенирная продукция,Москва,"Компания STONEBLACK является крупным производителем корпоративной одежды (бейсболки, кепки, рубашки поло, толстовки, рюкзаки, куртки и т.д.), а также оказывает услуги дизайн-студии и обладает опытом в области разработки индивидуальных моделей корпоративной одежды.",685,https://www.stoneblack.ru/,"7 (495) 589-27-77, info@stoneblack.ru",https://alladvertising.ru/top/gifts/
Сувенир Медиа ,7714736550,"ООО ""СУВЕНИР МЕДИА""",Сувенирная продукция,Москва,"Компания «Сувенир Медиа» занимается оптовыми поставками брендированных сувениров, корпоративных подарков и другой промо-продукции.",630,https://suvmedia.ru/,"7 (495) 925-51-97, order@suvmedia.ru",https://alladvertising.ru/top/gifts/
Eventum Premo ,7701752869,"ООО ""ЕВЕНТУМ. КОНФЕРЕНЦИИ И СЕМИНАРЫ""",Event-management,Москва,"Компания Eventum Premo занимает одно из лидирующих мест в сфере корпоративных и маркетинговых коммуникаций. Агентство специализируется на организации и проведении крупномасштабных мероприятий, создании инсталляций и пространственных интеграций, PR и поддержке участия в выставках, продвижении в цифровой среде.",805,https://eventum-premo.ru/,"7 (495) 785-84-46, go@eventum-premo.ru",https://alladvertising.ru/top/event-management/
MAXIMICE ,7704628250,"ООО ""МАКСИМАЙС""",Event-management,Москва,"Организация бизнес-мероприятий — внутрикорпоративные, партнерские и клиентские мероприятия; нестандартные развлекательные и деловые события; презентации и роад-шоу; тимбилдинги и индивидуальные поездки; региональные программы и пресс-конференции и т.д.",803,https://maximice.ru/,"7 (495) 739-33-58, info@maximice.ru",https://alladvertising.ru/top/event-management/
WORLDS ,7714931520,"ООО ""ПИ ОУ ДИ ГРУПП""",Event-management,Москва,"Компания WORLDS — одно из ведущих event-агентств в России, занимающееся комплексным обслуживанием крупных корпоративных клиентов: организация корпоративных мероприятий, презентаций, конференций и тренингов, нестандартных активаций и интегрированных проектов.",897,https://wrlds.ru/,"7 (495) 225-73-21, brief@wrlds.ru",https://alladvertising.ru/top/event-management/
DoctorTeam,9715291509,"ООО ""ДОКТОР ТИМ""",Event-management,Москва,"DoctorTeam — эксперт в сфере организации корпоративных, маркетинговых и деловых мероприятий. В компетенцию агентства входят корпоративные праздники, тимбилдинги и разработка систем лояльности, конференции и выставки, бизнес-завтраки и пресс-туры, внутренний PR, а так же подготовка к открытию новых компаний, торговых точек и филиалов.",838,https://doctorteam.ru/,"7 (499) 340-82-32, hello@doctorteam.ru",https://alladvertising.ru/top/event-management/
Grata Adv ,7727713286,"ООО ""ГРАТА АДВ""",Event-management,Москва,"Коммуникационное агентство полного цикла Grata Adv занимается организацией деловых, корпоративных и развлекательных мероприятий, реализацией и сопровождением выставочных проектов.",795,https://grata-adv.ru/,"7 (495) 961-00-06, grata@grata-adv.ru",https://alladvertising.ru/top/event-management/
UTS ,7707545675,"ООО ""ЮТС""",Event-management,Москва,"Event-агентство UTS занимается организацией деловых поездок (MICE), корпоративных и маркетинговых мероприятий: конференций и семинаров, встреч и презентаций, а также спортивных проектов, выставок и фестивалей.",728,https://uts-event.ru/,"8 800 707-07-24, request@uts-event.ru",https://alladvertising.ru/top/event-management/
Market Group,7725578793,"АО ""МАРКОМ""",Event-management,Москва,"Коммуникационное агентство Market Group оказывает широкий спектр услуг в сферах PR и организации мероприятий, разработки и продвижения нестандартных проектов в цифровой среде.",741,https://themarketgroup.ru/,"7 (495) 137-70-25, info@themarketgroup.ru",https://alladvertising.ru/top/event-management/
OTIDO Group ,7810429305,"ООО ""ОТИДО ГРУПП""",Event-management,Санкт-Петербург,"Компания OTIDO предоставляет широкий спектр оборудования для технического обеспечения мероприятий в Москве и Санкт-Петербурге: аренда шатров и мебели, сценические конструкции, световое и звуковое оборудование, кейтеринг и элементы декора, а так же оказывает сопутствующие услуги по организации событий.",755,https://www.otido-group.ru/,"7 (812) 677-55-01, spb@otido-group.ru",https://alladvertising.ru/top/event-management/
StagePro,7841025951,"ООО ""СТЕЙДЖПРО""",Event-management,Санкт-Петербург,"StagePro — крупнейшая сценическая компания в сфере технического обеспечения мероприятий на Северо-Западе России: поставки конструкций и оборудования, оформление мероприятий и производство декораций, полное техническое обеспечение и сопровождение проектов.",745,https://stagepro.ru/,"7 (812) 601-06-48, info@stagepro.ru",https://alladvertising.ru/top/event-management/
Невент ,6318035373,"ООО ""НЕВЕНТ""",Event-management,Самара,"Компания «Невент» объединяет команду специалистов в области организации программ тимбилдинга, квестов, тренингов и бизнес-игр, деловых мероприятий и корпоративных праздников.",731,https://nevent.ru/,"8 800 550-40-35, nevent@inbox.ru",https://alladvertising.ru/top/event-management/
Sobytie Communications,7717582845,"ООО ""КГ СОБЫТИЕ""",Event-management,Москва,"Коммуникационная группа «Событие» оказывает весь спектр услуг на рынке маркетинговых коммуникаций: от разработки комплексных стратегий и креативных концепций до реализации медийных кампаний, PR, Event- и BTL-проектов.",680,https://so-bytie.ru/,"7 (495) 741-36-01,  info@so-bytie.ru",https://alladvertising.ru/top/event-management/
N:OW ,7707373225,"ООО ""НАУ""",Event-management,Москва,"Агентство «N:OW» оказывает весь комплекс услуг в области коммуникаций и событийного маркетинга — от исследований, разработки идей, сценариев и механик, до организации мероприятий и полной интеграции брендов в крупные события.",555,https://now-agency.ru/,"7 953 435-91-63, hello@now-agency.ru",https://alladvertising.ru/top/event-management/
Win2Win Communications,7714966378,"ООО ""ГРУППА КОМПАНИЙ ВИН ТУ ВИН КОММУНИКЕЙШНЗ""",Event-management,Москва,"Коммуникационное агентство Win2Win Communications оказывает широкий спектр услуг по разработке и реализации стратегий взаимодействия с аудиторией, сотрудниками и партнерами.",589,https://win2win.ru/,"7 (495) 664-48-00,  info@win2win.ru",https://alladvertising.ru/top/event-management/
SUR event agency,5262153652,"ООО ""СТУДИЯ СЮРПРИЗ""",Event-management,Нижний Новгород,"Event-агентство SUR («Студия Сюрприз») создаёт различные мероприятия и реализует комплексные коммуникационные стратегии, усиливающие бренды, вовлекающие аудиторию и дающие измеримые результаты. Агентство является одним из лидеров в сфере организации корпоративных мероприятий и событийного маркетинга, реализуя проекты, направленные на решение HR и маркетинговых задач.",594,https://www.surpriznn.ru/,"7 (831) 422-81-04, info@surpriznn.ru",https://alladvertising.ru/top/event-management/
Redday event,7743770718,"ООО ""РЭДДЭЙ""",Event-management,Москва,"Событийное агентство Redday event специализируется на организации масштабных мероприятий: корпоративные праздники, конференции, презентации, официальные встречи и т.д.",617,https://redday.events/,"7 (495) 180-04-20, info@redday.ec",https://alladvertising.ru/top/event-management/
