name,inn,legal_person,region,description,rating_ref,site,contacts,source,segment_tag,revenue_year,revenue,okved_main
Проект 111,7838307811,"ООО ""ПРОЕКТ 111""",Санкт-Петербург,"Компания «Проект 111» является лидером российского рынка промоиндустрии, специализируясь на разработке, производстве и дистрибуции бизнес-подарков и мерча, промо-продукции и упаковки. Компания составляет собственные каталоги и постоянно развивает сеть региональных партнеров.",1697,https://gifts.ru/,"7 (812) 389-44-14, info@gifts.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,9414394000.0,46.90
Платина,2461037736,"ООО ИПК ""ПЛАТИНА""",Красноярск,"ИПК «Платина» оказывает комплекс услуг по разработке и производству корпоративной презентационной продукции: корпоративные календари, юбилейные издания, книги, сувенирные наборы.",834,https://platinaipk.ru/,"7 (391) 265-59-61, info@platinaipk.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,221523000.0,18.14
ADMOS,7720688104,"ООО ""ЭДМОС-РЕКЛАМА""",Москва,Компания ADMOS специализируется на разработке концепций промо- и бизнес-подарков; оказывает услуги в области производства сувенирной продукции; занимается оформлением и производством печатных и POS-материалов.,905,https://www.admos-gifts.ru/,"7 (495) 646-15-10, zapros@admos.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,1254978000.0,18.12
Прагматика,6685136716,"ООО ""ПРАГМАТИКА""",Екатеринбург,"Рекламно-производственная компания представляет интересы ведущих сувенирных каталогов и предлагает огромный выбор рекламных и бизнес-сувениров российского и зарубежного производства, а так же оказывает услуги по нанесению фирменной символики и производству рекламной полиграфии.",875,https://pragmatica.gifts/,"7 (343) 253-15-76, info@pragmatica.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,271541000.0,46.90
Иллан Gifts,7801207313,"ООО ""КГИ""",Санкт-Петербург,Компания Иллан Gifts — одна из крупнейших российских компаний на рынке разработки и поставок качественной сувенирной продукции и бизнес-подарков с фирменной символикой.,802,https://illan-gifts.ru/,"7 (812) 704-84-71, illanspb+adv@illan.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,3066231000.0,46.49
ПрезенТайм,5258125282,"ООО ""ПРЕЗЕНТАЙМ""",Нижний Новгород,"Разработка, производство и продажа сувенирной продукции (деловые сувениры и подарки) из ведущих каталогов со склада в Нижнем Новгороде, а также оказание услуг по персонализации (нанесению символики).",910,https://presentime.online/,"7 (831) 216-13-13, info@presentime.su",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,68604000.0,46.49
ОКЕАН бизнес сувениров,6316160467,"ООО ""МАКРОС""",Самара,"Компания «Океан бизнес-сувениров» является одним из крупнейших оптовых поставщиков бизнес-сувениров и элитных подарков в России, а также оказывает широкий спектр услуг по нанесению фирменной символики.",861,https://www.oceangifts.ru/,"7 (846) 979-71-72, region@oceangifts.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,216850000.0,46.49.44
Zeytz,7722713109,"ООО ""ЗЕЙТЦ ПРОДЖЕКТ""",Москва,"Группа ZEYTZ — эксперт в производстве рекламной, полиграфической, сувенирной и текстильной продукции, оформлении мест продаж, автоматизации рекламных поставок в федеральные сети. Компании принадлежат крупнейшая в России интерьерная латексная типография и швейный цех «Швейц» в Рязани.",812,https://www.zeytz.ru/,"7 (495) 662-97-85, welcome@zeytz.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,76248000.0,93.29
Grata Adv,7727713286,"ООО ""ГРАТА АДВ""",Москва,"Коммуникационное агентство полного цикла Grata Adv занимается организацией деловых, корпоративных и развлекательных мероприятий, реализацией и сопровождением выставочных проектов.",795,https://grata-adv.ru/,"7 (495) 961-00-06, grata@grata-adv.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,236762000.0,82.30
Alter Ego,7705344797,"ООО ""АЛЬТЕР ЭГО ПРОМОУШН""",Москва,"Компания «Альтер Эго» занимается производством и поставкой сувениров и корпоративных подарков, сотрудничая с крупнейшими поставщиками из России, Европы и Китая. В перечне услуг компании: разработка идей и индивидуальный дизайн, изготовление сувенирной и полиграфической продукции, все виды нанесения и персонализации, упаковка и оформление наборов, собственная служба логистики и складской комплекс.",776,https://altereg.ru/,"7 (495) 150-30-77, info@altereg.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,86116000.0,18.12
N:OW,7707373225,"ООО ""НАУ""",Москва,"Агентство «N:OW» оказывает весь комплекс услуг в области коммуникаций и событийного маркетинга — от исследований, разработки идей, сценариев и механик, до организации мероприятий и полной интеграции брендов в крупные события.",555,https://now-agency.ru/,"7 953 435-91-63, hello@now-agency.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,0.0,73.11
LBK Marketing Pro,7743777640,"ООО ""ЛБК МАРКЕТИНГ ПРО""",Москва,"Сервисно-производственная компания «ЛБК Маркетинг Продакшен» является одним из лидеров в области разработки и производства POS-материалов и промо-дисплеев, а также промо-упаковки и различных рекламных материалов.",713,https://lbk-mpro.ru/,"7 (495) 989-12-36, zakaz@lbk-mpro.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,938756000.0,17.29
Эклектика,7704404228,"ООО ""ЭКЛЕКТИКА""",Москва,"Компания «Эклектика» специализируется на оптовых поставках сувенирной продукции и бизнес-подарков от известных мировых производителей, а также оказывает услуги по разработке индивидуальных решений и нанесению фирменной символики.",674,https://eklektika.ru/,"7 (495) 129-53-72, team@eklektika.ru",https://alladvertising.ru/top/gifts/,SOUVENIR,2024.0,420700000.0,46.49.4
